Time,Eigenvalue,Probability
0,-4.2391114,3.67002395807748e-17
0,-4.223942,4.32497445999032e-05
0,-4.1966004,2.6359203885239714e-16
0,-4.1688814,5.3777385626289226e-05
0,-4.164605,4.946220393123587e-15
0,-4.164605,8.038088007918927e-16
0,-4.1285667,7.938107012678328e-15
0,-4.1285667,1.301932231725364e-15
0,-4.1272197,1.1893121189909617e-15
0,-4.1272197,8.259206550623686e-16
0,-4.122037,1.9356392393603018e-17
0,-4.122037,2.1033522478704725e-17
0,-4.1213994,3.469447036100539e-17
0,-4.0874715,3.662809649128659e-06
0,-4.0604324,0.0017004671571175245
0,-4.05991,0.0010082776051609926
0,-4.0356894,8.332092962720778e-17
0,-4.034441,1.4094628306733883e-17
0,-4.034441,2.0366735857019128e-16
0,-4.0270405,0.0005560991413472577
0,-4.0173798,4.239674705980301e-05
0,-4.010204,7.193208087458593e-16
0,-4.010204,1.0695900714553713e-17
0,-3.9503806,1.1634698530615786e-16
0,-3.9019802,0.0015240639493275254
0,-3.8972034,3.174727972412772e-17
0,-3.8972034,9.398147648381318e-17
0,-3.886727,5.637851322693553e-17
0,-3.8664227,7.211299284722675e-17
0,-3.8664227,5.666311519709675e-17
0,-3.8471816,5.908902015046952e-18
0,-3.843285,1.3419769956665799e-15
0,-3.843285,2.805439545351015e-17
0,-3.8423498,3.131300371062105e-05
0,-3.8346033,1.1980435692506052e-17
0,-3.8346033,1.3349239809276999e-17
0,-3.8103778,6.23170468219448e-17
0,-3.8103778,1.8117785040711525e-17
0,-3.800477,0.0004460707131595555
0,-3.7922134,4.336808817289855e-18
0,-3.7772992,0.00011503111745804484
0,-3.7595646,0.00025391360024926493
0,-3.7261786,8.94380171893779e-16
0,-3.7261786,2.636399732329473e-16
0,-3.7226796,2.145239972180392e-15
0,-3.7226796,6.109754011638203e-16
0,-3.7182555,1.4809906331110382e-05
0,-3.6955154,4.1720103039544687e-16
0,-3.6947901,0.0018716187918699362
0,-3.6851473,1.9298797891725407e-17
0,-3.6668496,1.8064750108989017e-16
0,-3.6668496,1.331359763843629e-16
0,-3.6518831,9.441982327288499e-17
0,-3.6416934,7.860466899656743e-18
0,-3.6310952,2.3449261755642437e-17
0,-3.6252677,0.0003365360261839735
0,-3.6082785,4.672599655012458e-16
0,-3.6082785,5.436108306553999e-16
0,-3.5723264,8.673617379884035e-19
0,-3.5723264,1.0679390676896072e-17
0,-3.5578122,1.831766247385468e-16
0,-3.5578122,1.5590291884869488e-16
0,-3.5420957,3.312774675318813e-05
0,-3.5350602,0.00040385109900082164
0,-3.5068147,0.00032943615460329437
0,-3.4930542,1.5029752065723606e-17
0,-3.4897885,2.240212337544701e-17
0,-3.478216,7.38445351698887e-17
0,-3.478216,1.4191407567275007e-16
0,-3.4495099,4.4234062032317634e-05
0,-3.43932,0.0001337176643863994
0,-3.421556,3.94302986311823e-06
0,-3.414649,3.49413086016191e-17
0,-3.3962002,0.00019549543375152467
0,-3.3782146,4.0616922150766366e-17
0,-3.3782146,9.757820532514226e-18
0,-3.373955,2.6955980308138617e-17
0,-3.3473895,1.026833107035195e-06
0,-3.3368802,0.0011504444217145247
0,-3.3300927,2.168404344971009e-19
0,-3.3274581,1.474514883308143e-17
0,-3.325775,6.9388936663990085e-18
0,-3.3179607,5.622568972994423e-16
0,-3.3179607,5.81222774131083e-16
0,-3.3177633,1.1492543006479961e-17
0,-3.3069007,1.2446092644616376e-16
0,-3.3069007,1.0542717164104054e-15
0,-3.2911026,0.00028476916804149113
0,-3.278444,0.18515654883243826
0,-3.2745008,1.473111204289102e-16
0,-3.2745008,1.7757725387450742e-16
0,-3.235281,1.734723526915942e-17
0,-3.2314332,3.554140773629485e-16
0,-3.2314332,4.050250047383446e-16
0,-3.2295747,2.8961748201659296e-17
0,-3.2295747,7.047313620773102e-17
0,-3.211758,2.2998634702580534e-17
0,-3.211758,8.643970925433045e-18
0,-3.2044673,4.180451812891295e-16
0,-3.2044673,3.14031566685906e-16
0,-3.1388342,2.2049148200590368e-05
0,-3.110127,0.0014919817117944323
0,-3.0997581,0.0004977669308595147
0,-3.093262,0.0003927273043302787
0,-3.0846794,2.473336056213647e-19
0,-3.0797489,0.0005835045295328779
0,-3.0444388,2.1955092007556624e-18
0,-3.0441816,4.497085461535121e-16
0,-3.0441816,4.3177810027651e-17
0,-3.0214946,0.0008499687957735404
0,-3.0185513,1.302942270869213e-16
0,-3.0102735,4.457712234147795e-05
0,-2.9949713,5.1716443588766326e-17
0,-2.9949713,2.3649159916395588e-17
0,-2.9666028,1.1519648783200544e-17
0,-2.9599178,9.321848045359482e-06
0,-2.9446952,0.006403372588892842
0,-2.9233582,5.1134746559802675e-17
0,-2.9233582,8.094386006056813e-17
0,-2.9230585,1.474514883308143e-17
0,-2.9168673,0.001657064669085051
0,-2.9167473,4.8172151595815676e-17
0,-2.915642,0.00037251893224330215
0,-2.8963778,8.714466952017269e-16
0,-2.8963778,1.354654316502661e-16
0,-2.893419,1.82281506343155e-18
0,-2.8772285,3.615910075819617e-16
0,-2.8772285,2.803778938691257e-16
0,-2.8754714,1.1069704928328413e-16
0,-2.8754714,7.914675840643816e-18
0,-2.8463395,2.2985087458842663e-17
0,-2.8354404,3.403832921791781e-05
0,-2.828427,6.9388936663990085e-18
0,-2.8100567,2.4523107849192124e-16
0,-2.8100567,6.802076518989985e-16
0,-2.8077292,4.391018798566293e-18
0,-2.7836027,3.428951245987193e-16
0,-2.749851,1.6794970259089645e-17
0,-2.746893,4.607859186495406e-18
0,-2.746893,2.9307337389682696e-18
0,-2.7349958,3.7561673955624146e-17
0,-2.7349958,1.1309584779292749e-16
0,-2.7342155,6.561981118043728e-16
0,-2.7342155,1.0415140541289973e-16
0,-2.725881,0.0015418279377499844
0,-2.707966,4.607859186495406e-18
0,-2.705273,8.934168214755202e-17
0,-2.674942,0.000280400675317774
0,-2.6547341,4.162645124197158e-16
0,-2.6547341,6.261294880336102e-16
0,-2.6299891,2.733545074947722e-17
0,-2.6294076,0.0002668650044197231
0,-2.6291866,1.0550643284894144e-16
0,-2.6127343,2.423225338104166e-16
0,-2.6127343,2.5717275474669567e-16
0,-2.6126192,3.213730550133196e-15
0,-2.6126192,6.204129381287395e-16
0,-2.5965993,1.6493423340765954e-17
0,-2.5965993,1.5829350759767342e-17
0,-2.5701227,0.0006856322936746317
0,-2.534378,2.2551405310140946e-17
0,-2.528211,3.4987288579069715e-17
0,-2.528211,1.1257443683960801e-16
0,-2.5152793,9.13712955194884e-16
0,-2.5152793,2.6278317715467113e-16
0,-2.5086539,7.047314279734373e-18
0,-2.5086539,2.023392340825305e-17
0,-2.5070915,3.407429256053183e-05
0,-2.4920435,7.48239536595913e-05
0,-2.4628456,8.673617590251348e-18
0,-2.462766,1.1113071469661461e-17
0,-2.4611268,5.728174120441052e-05
0,-2.4561257,3.2864873781236146e-17
0,-2.456088,3.251016074360628e-05
0,-2.4434235,1.207801199867814e-16
0,-2.4434235,1.8812602166345293e-16
0,-2.42573,3.085011181483533e-17
0,-2.42573,3.9870742693956777e-16
0,-2.4209473,2.3039296117487544e-17
0,-2.4199739,6.7121347464876e-16
0,-2.4199739,2.925333259874127e-16
0,-2.4174266,0.0004211848341475477
0,-2.4053693,4.1404799677884906e-16
0,-2.4053693,2.584642720804245e-17
0,-2.386972,2.749604778639019e-16
0,-2.386972,3.144186759862697e-17
0,-2.3838763,8.263536387356278e-17
0,-2.3795881,6.692957073303838e-05
0,-2.3646967,7.451057765592375e-15
0,-2.3646967,1.3863138006059544e-15
0,-2.3635643,5.0645796112882675e-17
0,-2.3504915,0.004433008182549492
0,-2.348956,2.647529736576148e-16
0,-2.348956,1.411966633192583e-16
0,-2.3479452,3.127923302374184e-17
0,-2.3359714,0.00011212088223664166
0,-2.316604,1.6957139090391935e-05
0,-2.3131878,1.9853707192530308e-15
0,-2.3131878,3.983709000807371e-15
0,-2.30929,3.062870894738809e-17
0,-2.2986526,4.701321079431001e-15
0,-2.2986526,6.193852913577704e-15
0,-2.2964044,6.376837896635993e-15
0,-2.2964044,1.2786981556061769e-17
0,-2.2815592,0.00018284738188779903
0,-2.2584455,3.403415015039539e-16
0,-2.2584455,6.209610858416999e-16
0,-2.254821,0.008854429720910828
0,-2.253835,4.381736595637964e-15
0,-2.253835,1.1503139192236338e-14
0,-2.2322102,1.156299624535266e-17
0,-2.228624,0.00019885310780197538
0,-2.2106645,0.0005911263632962828
0,-2.176722,0.015049516140921926
0,-2.1757855,3.7754846729260913e-16
0,-2.1757855,1.1110923723932336e-16
0,-2.171891,5.665381813082401e-16
0,-2.171891,6.691811422589136e-16
0,-2.1377087,4.975839271710667e-07
0,-2.1369085,1.3433347026029385e-17
0,-2.1196458,0.0012241031247473139
0,-2.1091297,0.0007003814675558863
0,-2.1085937,1.2019885362459596e-14
